title,year,runtime,director,cast,description,url
록키,1976,2h,John G. Avildsen,"John G. Avildsen, Sylvester Stallone, Sylvester Stallone, Talia Shire, Burt Young",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_214
동경 이야기,1953,2h 17m,Yasujirô Ozu,"Yasujirô Ozu, Kôgo Noda, Yasujirô Ozu, Chishû Ryû, Chieko Higashiyama","An old couple visit their children and grandchildren in the city, but receive little attention.",https://www.imdb.com/title/tt0046438/?ref_=chttp_t_215
위대한 레보스키,1998,1h 57m,Joel Coen,"Joel Coen, Ethan Coen, Ethan Coen, Joel Coen, Jeff Bridges","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",https://www.imdb.com/title/tt0118715/?ref_=chttp_t_216
The Seventh Seal,1957,1h 36m,Ingmar Bergman,"Ingmar Bergman, Ingmar Bergman, Max von Sydow, Gunnar Björnstrand, Bengt Ekerot","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",https://www.imdb.com/title/tt0050976/?ref_=chttp_t_217
스포트라이트,2015,2h 9m,Tom McCarthy,"Tom McCarthy, Josh Singer, Tom McCarthy, Mark Ruffalo, Michael Keaton","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",https://www.imdb.com/title/tt1895587/?ref_=chttp_t_218
Room,2015,1h 58m,Lenny Abrahamson,"Lenny Abrahamson, Emma Donoghue, Brie Larson, Jacob Tremblay, Sean Bridgers","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",https://www.imdb.com/title/tt3170832/?ref_=chttp_t_219
터미네이터,1984,1h 47m,James Cameron,"James Cameron, James Cameron, Gale Anne Hurd, William Wisher, Arnold Schwarzenegger",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_220
Hotel Rwanda,2004,2h 1m,Terry George,"Terry George, Keir Pearson, Terry George, Don Cheadle, Sophie Okonedo","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",https://www.imdb.com/title/tt0395169/?ref_=chttp_t_221
Platoon,1986,2h,Oliver Stone,"Oliver Stone, Oliver Stone, Charlie Sheen, Tom Berenger, Willem Dafoe","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th... Read all",https://www.imdb.com/title/tt0091763/?ref_=chttp_t_222
캐리비안의 해적: 블랙펄의 저주,2003,2h 23m,Gore Verbinski,"Gore Verbinski, Ted Elliott, Terry Rossio, Stuart Beattie, Johnny Depp","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now unde... Read all",https://www.imdb.com/title/tt0325980/?ref_=chttp_t_223
La haine,1995,1h 38m,Mathieu Kassovitz,"Mathieu Kassovitz, Mathieu Kassovitz, Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_224
Before Sunset,2004,1h 20m,Richard Linklater,"Richard Linklater, Richard Linklater, Julie Delpy, Ethan Hawke, Ethan Hawke","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",https://www.imdb.com/title/tt0381681/?ref_=chttp_t_225
Jai Bhim,2021,2h 44m,T.J. Gnanavel,"T.J. Gnanavel, T.J. Gnanavel, Rajendra Sapre, Suriya, Lijo Mol Jose","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/?ref_=chttp_t_226
La passion de Jeanne d'Arc,1928,1h 50m,Carl Theodor Dreyer,"Carl Theodor Dreyer, Joseph Delteil, Carl Theodor Dreyer, Maria Falconetti, Eugene Silvain","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",https://www.imdb.com/title/tt0019254/?ref_=chttp_t_227
The Best Years of Our Lives,1946,2h 50m,William Wyler,"William Wyler, Robert E. Sherwood, MacKinlay Kantor, Myrna Loy, Dana Andrews","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",https://www.imdb.com/title/tt0036868/?ref_=chttp_t_228
엑소시스트: 디렉터스 컷,1973,2h 2m,William Friedkin,"William Friedkin, William Peter Blatty, Ellen Burstyn, Max von Sydow, Linda Blair","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",https://www.imdb.com/title/tt0070047/?ref_=chttp_t_229
