title,year,runtime,director,cast,description,url
센과 치히로의 행방불명,2001,2h 4m,Hayao Miyazaki,"Hayao Miyazaki, Hayao Miyazaki, Daveigh Chase, Suzanne Pleshette, Miyu Irino","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31
피아니스트,2002,2h 30m,Roman Polanski,"Roman Polanski, Ronald Harwood, Wladyslaw Szpilman, Adrien Brody, Thomas Kretschmann","During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32
Gisaengchung,2019,2h 12m,Bong Joon Ho,"Bong Joon Ho, Bong Joon Ho, Han Jin-won, Song Kang-ho, Lee Sun-kyun",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_33
글래디에이터,2000,2h 35m,Ridley Scott,"Ridley Scott, David Franzoni, John Logan, William Nicholson, Russell Crowe",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_34
싸이코,1960,1h 49m,Alfred Hitchcock,"Alfred Hitchcock, Joseph Stefano, Robert Bloch, Anthony Perkins, Janet Leigh",A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35
라이온 킹,1994,1h 28m,Roger Allers,"Roger Allers, Rob Minkoff, Irene Mecchi, Jonathan Roberts, Linda Woolverton","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36
디파티드,2006,2h 31m,Martin Scorsese,"Martin Scorsese, William Monahan, Alan Mak, Felix Chong, Leonardo DiCaprio",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_37
반딧불이의 묘,1988,1h 28m,Isao Takahata,"Isao Takahata, Akiyuki Nosaka, Isao Takahata, Tsutomu Tatsumi, Ayano Shiraishi",A young boy and his little sister struggle to survive in Japan during World War II.,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_38
위플래쉬,2014,1h 46m,Damien Chazelle,"Damien Chazelle, Damien Chazelle, Miles Teller, J.K. Simmons, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_39
Spider-Man: Across the Spider-Verse,2023,2h 20m,Joaquim Dos Santos,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson, Phil Lord, Christopher Miller","Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Mi... Read all",https://www.imdb.com/title/tt9362722/?ref_=chttp_t_40
아메리칸 히스토리 X,1998,1h 59m,Tony Kaye,"Tony Kaye, David McKenna, Edward Norton, Edward Furlong, Beverly D'Angelo","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who id... Read all",https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41
프레스티지,2006,2h 10m,Christopher Nolan,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, Christopher Priest, Christian Bale",Rival 19th-century magicians engage in a bitter battle for trade secrets.,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_42
레옹,1994,1h 50m,Luc Besson,"Luc Besson, Luc Besson, Jean Reno, Gary Oldman, Natalie Portman","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin... Read all",https://www.imdb.com/title/tt0110413/?ref_=chttp_t_43
Seppuku,1962,2h 13m,Masaki Kobayashi,"Masaki Kobayashi, Yasuhiko Takiguchi, Shinobu Hashimoto, Tatsuya Nakadai, Akira Ishihama","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ... Read all",https://www.imdb.com/title/tt0056058/?ref_=chttp_t_44
카사블랑카,1942,1h 42m,Michael Curtiz,"Michael Curtiz, Julius J. Epstein, Howard Koch, Murray Burnett, Humphrey Bogart",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_45
유주얼 서스펙트,1995,1h 46m,Bryan Singer,"Bryan Singer, Christopher McQuarrie, Kevin Spacey, Gabriel Byrne, Chazz Palminteri",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46
언터처블: 1%의 우정,2011,1h 52m,Olivier Nakache,"Olivier Nakache, Éric Toledano, Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://www.imdb.com/title/tt1675434/?ref_=chttp_t_47
시네마 천국,1988,2h 54m,Giuseppe Tornatore,"Giuseppe Tornatore, Giuseppe Tornatore, Vanna Paoli, Philippe Noiret, Enzo Cannavale","Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love wit... Read all",https://www.imdb.com/title/tt0095765/?ref_=chttp_t_48
Dune: Part Two,2024,2h 46m,Denis Villeneuve,"Denis Villeneuve, Denis Villeneuve, Jon Spaihts, Frank Herbert, Timothée Chalamet",Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the univers... Read all,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_49
모던 타임즈,1936,1h 27m,Charles Chaplin,"Charles Chaplin, Charles Chaplin, Charles Chaplin, Paulette Goddard, Henry Bergman",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50
에이리언,1979,1h 57m,Ridley Scott,"Ridley Scott, Dan O'Bannon, Ronald Shusett, Sigourney Weaver, Tom Skerritt","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://www.imdb.com/title/tt0078748/?ref_=chttp_t_51
이창,1954,1h 52m,Alfred Hitchcock,"Alfred Hitchcock, John Michael Hayes, Cornell Woolrich, James Stewart, Grace Kelly",A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52
원스 어폰 어 타임 인 더 웨스트,1968,2h 46m,Sergio Leone,"Sergio Leone, Sergio Donati, Sergio Leone, Dario Argento, Henry Fonda",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_53
장고: 분노의 추적자,2012,2h 45m,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://www.imdb.com/title/tt1853728/?ref_=chttp_t_54
City Lights,1931,1h 27m,Charles Chaplin,"Charles Chaplin, Charles Chaplin, Harry Carr, Harry Crocker, Charles Chaplin","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/?ref_=chttp_t_55
지옥의 묵시록,1979,2h 27m,Francis Ford Coppola,"Francis Ford Coppola, John Milius, Francis Ford Coppola, Michael Herr, Martin Sheen",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56
메멘토,2000,1h 53m,Christopher Nolan,"Christopher Nolan, Christopher Nolan, Jonathan Nolan, Guy Pearce, Carrie-Anne Moss","Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57
월-E,2008,1h 38m,Andrew Stanton,"Andrew Stanton, Andrew Stanton, Pete Docter, Jim Reardon, Ben Burtt","A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/?ref_=chttp_t_58
레이더스,1981,1h 55m,Steven Spielberg,"Steven Spielberg, Lawrence Kasdan, George Lucas, Philip Kaufman, Harrison Ford","In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",https://www.imdb.com/title/tt0082971/?ref_=chttp_t_59
타인의 삶,2006,2h 17m,Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck, Florian Henckel von Donnersmarck, Ulrich Mühe, Martina Gedeck, Sebastian Koch","In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",https://www.imdb.com/title/tt0405094/?ref_=chttp_t_60
12th Fail,2023,2h 27m,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak, Vikrant Massey",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_61
어벤져스: 인피니티 워,2018,2h 29m,Anthony Russo,"Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Stan Lee",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_62
Sunset Blvd.,1950,1h 50m,Billy Wilder,"Billy Wilder, Charles Brackett, Billy Wilder, D.M. Marshman Jr., William Holden",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_63
스파이더맨: 뉴 유니버스,2018,1h 57m,Bob Persichetti,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_64
Paths of Glory,1957,1h 28m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, Calder Willingham, Jim Thompson, Kirk Douglas",A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65
Witness for the Prosecution,1957,1h 56m,Billy Wilder,"Billy Wilder, Agatha Christie, Billy Wilder, Harry Kurnitz, Tyrone Power",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66
샤이닝,1980,2h 26m,Stanley Kubrick,"Stanley Kubrick, Stephen King, Stanley Kubrick, Diane Johnson, Jack Nicholson","A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the... Read all",https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67
The Great Dictator,1940,2h 5m,Charles Chaplin,"Charles Chaplin, Charles Chaplin, Charles Chaplin, Paulette Goddard, Jack Oakie",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
Aliens,1986,2h 17m,James Cameron,"James Cameron, James Cameron, David Giler, Walter Hill, Sigourney Weaver","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69
바스터즈: 거친 녀석들,2009,2h 33m,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Brad Pitt, Diane Kruger, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70
Dakeu naiteu raijeu,2012,2h 44m,Christopher Nolan,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, David S. Goyer, Christian Bale","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71
코코,2017,2h 7m,Lee Unkrich,"Lee Unkrich, Adrian Molina, Lee Unkrich, Jason Katz, Matthew Aldrich","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72
아마데우스,1984,2h 40m,Milos Forman,"Milos Forman, Peter Shaffer, Zdenek Mahler, F. Murray Abraham, Tom Hulce","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him... Read all",https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73
Toy Story,1995,1h 21m,John Lasseter,"John Lasseter, John Lasseter, Pete Docter, Andrew Stanton, Tom Hanks",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_74
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, Terry Southern, Peter George, Peter Sellers","An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/?ref_=chttp_t_75
Oldeuboi,2003,2h,Park Chan-wook,"Park Chan-wook, Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook, Choi Min-sik","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",https://www.imdb.com/title/tt0364569/?ref_=chttp_t_76
어벤져스: 엔드게임,2019,3h 1m,Anthony Russo,"Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Stan Lee","After the devastating events of 어벤져스: 인피니티 워 (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and rest... Read all",https://www.imdb.com/title/tt4154796/?ref_=chttp_t_77
아메리칸 뷰티,1999,2h 2m,Sam Mendes,"Sam Mendes, Alan Ball, Kevin Spacey, Annette Bening, Thora Birch",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_78
굿 윌 헌팅,1997,2h 6m,Gus Van Sant,"Gus Van Sant, Matt Damon, Ben Affleck, Robin Williams, Matt Damon","Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",https://www.imdb.com/title/tt0119217/?ref_=chttp_t_79
The Boat,1981,2h 29m,Wolfgang Petersen,"Wolfgang Petersen, Wolfgang Petersen, Lothar G. Buchheim, Jürgen Prochnow, Herbert Grönemeyer",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80
Braveheart,1995,2h 58m,Mel Gibson,"Mel Gibson, Randall Wallace, Mel Gibson, Sophie Marceau, Patrick McGoohan",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_81
Mononoke-hime,1997,2h 13m,Hayao Miyazaki,"Hayao Miyazaki, Hayao Miyazaki, Yôji Matsuda, Yuriko Ishida, Yûko Tanaka","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th... Read all",https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82
Neoui Ileum-eun.,2016,1h 46m,Makoto Shinkai,"Makoto Shinkai, Makoto Shinkai, Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com/title/tt5311514/?ref_=chttp_t_83
천국과 지옥,1963,2h 23m,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita, Toshirô Mifune",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_84
조커,2019,2h 2m,Todd Phillips,"Todd Phillips, Todd Phillips, Scott Silver, Bob Kane, Joaquin Phoenix","Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrac... Read all",https://www.imdb.com/title/tt7286456/?ref_=chttp_t_85
세 얼간이,2009,2h 50m,Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra, Aamir Khan","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all",https://www.imdb.com/title/tt1187043/?ref_=chttp_t_86
원스 어폰 어 타임 인 아메리카,1984,3h 49m,Sergio Leone,"Sergio Leone, Harry Grey, Leonardo Benvenuti, Piero De Bernardi, Robert De Niro","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",https://www.imdb.com/title/tt0087843/?ref_=chttp_t_87
사랑은 비를 타고,1952,1h 43m,Stanley Donen,"Stanley Donen, Gene Kelly, Betty Comden, Adolph Green, Gene Kelly",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
가버나움,2018,2h 6m,Nadine Labaki,"Nadine Labaki, Nadine Labaki, Jihad Hojeily, Michelle Keserwany, Zain Al Rafeea","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89
컴 앤 씨,1985,2h 22m,Elem Klimov,"Elem Klimov, Ales Adamovich, Elem Klimov, Aleksey Kravchenko, Olga Mironova","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
레퀴엠,2000,1h 42m,Darren Aronofsky,"Darren Aronofsky, Hubert Selby Jr., Darren Aronofsky, Ellen Burstyn, Jared Leto",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91
토이 스토리 3,2010,1h 43m,Lee Unkrich,"Lee Unkrich, John Lasseter, Andrew Stanton, Lee Unkrich, Tom Hanks","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ... Read all",https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,Richard Marquand,"Richard Marquand, Lawrence Kasdan, George Lucas, Mark Hamill, Harrison Ford","After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93
더 헌트,2012,1h 55m,Thomas Vinterberg,"Thomas Vinterberg, Thomas Vinterberg, Tobias Lindholm, Mads Mikkelsen, Thomas Bo Larsen","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to... Read all",https://www.imdb.com/title/tt2106476/?ref_=chttp_t_94
이터널 선샤인,2004,1h 48m,Michel Gondry,"Michel Gondry, Charlie Kaufman, Michel Gondry, Pierre Bismuth, Jim Carrey","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/?ref_=chttp_t_95
이키루,1952,2h 23m,Akira Kurosawa,"Akira Kurosawa, Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Takashi Shimura",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_96
2001: A Space Odyssey,1968,2h 29m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, Arthur C. Clarke, Keir Dullea, Gary Lockwood","When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/?ref_=chttp_t_97
저수지의 개들,1992,1h 39m,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Roger Avary, Harvey Keitel, Tim Roth","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98
Lawrence of Arabia,1962,3h 47m,David Lean,"David Lean, Robert Bolt, Michael Wilson, Peter O'Toole, Alec Guinness","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/?ref_=chttp_t_99
The Apartment,1960,2h 5m,Billy Wilder,"Billy Wilder, Billy Wilder, I.A.L. Diamond, Jack Lemmon, Shirley MacLaine","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/?ref_=chttp_t_100
그을린 사랑,2010,2h 11m,Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Denis Villeneuve, Valérie Beaugrand-Champagne, Lubna Azabal",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_101
스카페이스,1983,2h 50m,Brian De Palma,"Brian De Palma, Oliver Stone, Howard Hawks, Ben Hecht, Al Pacino","Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102
Bugbugseolo Jinloleul Dollyeola,1959,2h 16m,Alfred Hitchcock,"Alfred Hitchcock, Ernest Lehman, Gerald Devriès, Cary Grant, Eva Marie Saint","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/?ref_=chttp_t_103
Double Indemnity,1944,1h 47m,Billy Wilder,"Billy Wilder, Billy Wilder, Raymond Chandler, James M. Cain, Fred MacMurray","An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
시민 케인,1941,1h 59m,Orson Welles,"Orson Welles, Herman J. Mankiewicz, Orson Welles, John Houseman, Orson Welles","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",https://www.imdb.com/title/tt0033467/?ref_=chttp_t_105
M - Eine Stadt sucht einen Mörder,1931,1h 57m,Fritz Lang,"Fritz Lang, Thea von Harbou, Fritz Lang, Egon Jacobsohn, Peter Lorre","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/?ref_=chttp_t_106
히트,1995,2h 50m,Michael Mann,"Michael Mann, Michael Mann, Al Pacino, Robert De Niro, Val Kilmer",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_107
Hyeongijeung,1958,2h 8m,Alfred Hitchcock,"Alfred Hitchcock, Alec Coppel, Samuel A. Taylor, Pierre Boileau, James Stewart","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis... Read all",https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108
Metal jaket,1987,1h 56m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, Michael Herr, Gustav Hasford, Matthew Modine",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
업,2009,1h 36m,Pete Docter,"Pete Docter, Bob Peterson, Pete Docter, Bob Peterson, Tom McCarthy","78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://www.imdb.com/title/tt1049413/?ref_=chttp_t_110
Oppenheimer,2023,3h,Christopher Nolan,"Christopher Nolan, Christopher Nolan, Kai Bird, Martin Sherwin, Cillian Murphy","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",https://www.imdb.com/title/tt15398776/?ref_=chttp_t_111
아멜리에,2001,2h 2m,Jean-Pierre Jeunet,"Jean-Pierre Jeunet, Guillaume Laurant, Jean-Pierre Jeunet, Audrey Tautou, Mathieu Kassovitz","Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",https://www.imdb.com/title/tt0211915/?ref_=chttp_t_112
시계태엽 오렌지,1971,2h 16m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, Anthony Burgess, Malcolm McDowell, Patrick Magee",Alex DeLarge and his droogs barbarize a decaying near-future.,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113
To Kill a Mockingbird,1962,2h 9m,Robert Mulligan,"Robert Mulligan, Harper Lee, Horton Foote, Gregory Peck, John Megna",A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114
Jodaeiye Nader az Simin,2011,2h 3m,Asghar Farhadi,"Asghar Farhadi, Asghar Farhadi, Payman Maadi, Leila Hatami, Sareh Bayat",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei... Read all,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115
The Sting,1973,2h 9m,George Roy Hill,"George Roy Hill, David S. Ward, Paul Newman, Robert Redford, Robert Shaw",Two grifters team up to pull off the ultimate con.,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_116
다이 하드,1988,2h 12m,John McTiernan,"John McTiernan, Roderick Thorp, Jeb Stuart, Steven E. de Souza, Bruce Willis",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_117
Like Stars on Earth,2007,2h 42m,Aamir Khan,"Aamir Khan, Amole Gupte, Amole Gupte, Darsheel Safary, Aamir Khan",A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_118
Indiana Jones and the Last Crusade,1989,2h 7m,Steven Spielberg,"Steven Spielberg, Jeffrey Boam, George Lucas, Menno Meyjes, Harrison Ford","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",https://www.imdb.com/title/tt0097576/?ref_=chttp_t_119
